Report_Num,Year,Occur_Date,Weekday,Location,Neighborho,Latitude,Longitude,GEOID,NAME
202650959,2020,9/21/2020,Monday,20 GRIFFIN ST NW,Vine City,33.75526,-84.41215,13121,Fulton
202651796,2020,9/21/2020,Monday,1355 RALPH D ABERNULLTHY BLVD SW,West End,33.7394,-84.43203,13121,Fulton
202661450,2020,9/22/2020,Tuesday,3280 PEACHTREE RD NE,Peachtree Park,33.84373,-84.37137,13121,Fulton
202661776,2020,9/22/2020,Tuesday,25 PEACHTREE ST SE,Downtown,33.75445,-84.38954,13121,Fulton
202661537,2020,9/22/2020,Tuesday,1270 NORTH AVE NW,Bankhead,33.76793,-84.42902,13121,Fulton
202670758,2020,9/23/2020,Wednesday,3121 BROWNS MILL RD,Glenrose Heights,33.67044,-84.38141,13121,Fulton
202671710,2020,9/23/2020,Wednesday,1029 MARTIN LUTHER KING JUNIOR DR,Washington Park,33.755,-84.42151,13121,Fulton
202681679,2020,9/24/2020,Thursday,813 MAGNOLIA WAY NW,Vine City,33.75823,-84.41416,13121,Fulton
202690638,2020,9/25/2020,Friday,502 PRYOR ST SW,Mechanicsville,33.74114,-84.39442,13121,Fulton
202711262,2020,9/25/2020,Friday,"2531 Piedmont Rd NE, Atlanta, GA 30324",Downtown,33.74816,-84.39459,13121,Fulton
202690086,2020,9/25/2020,Friday,1812 HONEYSUCKLE LN SW,Campbellton Road,33.7061,-84.45387,13121,Fulton
202701175,2020,9/26/2020,Saturday,396 PIEDMONT AVE NE,Downtown,33.76526,-84.38216,13121,Fulton
202702104,2020,9/26/2020,Saturday,302 PETERS ST SW,English Avenue,33.7638,-84.40349,13121,Fulton
202700278,2020,9/26/2020,Saturday,1784 DEFOOR AVE NW,Underwood Hills,33.80445,-84.42175,13121,Fulton
202701016,2020,9/26/2020,Saturday,2909 CAMPBELLTON RD SW,Southwest,33.69869,-84.48265,13121,Fulton
202701241,2020,9/26/2020,Saturday,3050 MARTIN L KING JR DR SW,Harland Terrace,33.75177,-84.4857,13121,Fulton
202721063,2020,9/27/2020,Sunday,761 SIDNEY MARCUS BLVD,Lindbergh/Morosgo,33.82545,-84.36218,13121,Fulton
202710456,2020,9/27/2020,Sunday,173 WOODWARD AVE SE,Capitol Gateway,33.74551,-84.38232,13121,Fulton
202711723,2020,9/27/2020,Sunday,1715 NORTHSIDE DR NW,Loring Heights,33.80181,-84.4071,13121,Fulton
202710706,2020,9/27/2020,Sunday,1474 BEECHER ST SW,Oakland City,33.73317,-84.43587,13121,Fulton
202720208,2020,9/28/2020,Monday,2940 PIEDMONT RD NE,Garden Hills,33.83472,-84.36811,13121,Fulton
202720265,2020,9/28/2020,Monday,210 8TH ST NW,Georgia Tech,33.77968,-84.392,13121,Fulton
202720157,2020,9/28/2020,Monday,LUCKIE ST NW / MILLS ST NW,Downtown,33.76534,-84.39613,13121,Fulton
202720096,2020,9/28/2020,Monday,1222 W MARIETTA ST NW,Knight Park/Howell Station,33.78604,-84.42737,13121,Fulton
202721632,2020,9/28/2020,Monday,3 FAIRBURN RD SW,Adamsville,33.75929,-84.50557,13121,Fulton
202730155,2020,9/29/2020,Tuesday,556 NORTHSIDE DR SW,Pittsburgh,33.74007,-84.40778,13121,Fulton
202730958,2020,9/29/2020,Tuesday,2002 HOWELL MILL RD NW,Wildwood (NPU-C),33.80963,-84.41315,13121,Fulton
202731279,2020,9/29/2020,Tuesday,914 HALL ST NW,Almond Park,33.78006,-84.46611,13121,Fulton
202740648,2020,9/29/2020,Tuesday,62 HARWELL RD NW,,33.754551,-84.493895,13121,Fulton
202731546,2020,9/29/2020,Tuesday,3830 PRINCETON LAKES PKWY SW,Princeton Lakes,33.65639,-84.51271,13121,Fulton
202771117,2020,9/30/2020,Wednesday,804 JETT ST NW,English Avenue,33.767149,-84.413717,13121,Fulton
202740619,2020,9/30/2020,Wednesday,1825 DELOWE DR,Campbellton Road,33.705421,-84.457908,13121,Fulton
202741720,2020,9/30/2020,Wednesday,1888 HOLLYWOOD RD NW,Riverside,33.80714,-84.471539,13121,Fulton
202751451,2020,10/1/2020,Thursday,502 PINE ST SE,Old Fourth Ward,33.767667,-84.375462,13121,Fulton
202820868,2020,10/1/2020,Thursday,215 PEACHTREE ST,Downtown,33.759749,-84.387157,13121,Fulton
202750860,2020,10/1/2020,Thursday,76 WALL ST SE,Downtown,33.752923,-84.38845,13121,Fulton
202752065,2020,10/1/2020,Thursday,250 FULTON ST SW,Mechanicsville,33.741572,-84.396366,13121,Fulton
202751901,2020,10/1/2020,Thursday,1938 METROPOLITAN PKWY SW,Sylvan Hills,33.70158,-84.407758,13121,Fulton
202750191,2020,10/1/2020,Thursday,2909 CAMPBELLTON RD SW,Southwest,33.700792,-84.483046,13121,Fulton
202751731,2020,10/1/2020,Thursday,3616 GINNIS RD,Fairburn Mays,33.731591,-84.511801,13121,Fulton
202762035,2020,10/2/2020,Friday,2400 PARKLAND DR NE,Lindbergh/Morosgo,33.81993,-84.36587,13121,Fulton
202760342,2020,10/2/2020,Friday,201 MOURY AVE SE,The Villages at Carver,33.71595,-84.391615,13121,Fulton
202760452,2020,10/2/2020,Friday,201 MOURY AVE SE,The Villages at Carver,33.71595,-84.391615,13121,Fulton
202761574,2020,10/2/2020,Friday,825 MCDANIEL ST SW,Pittsburgh,33.73236,-84.402205,13121,Fulton
202762190,2020,10/2/2020,Friday,327 PETERS ST SW,Castleberry Hill,33.745834,-84.403822,13121,Fulton
202761085,2020,10/2/2020,Friday,609 CASCADE AVE SW,Westview,33.738959,-84.434621,13121,Fulton
202761206,2020,10/2/2020,Friday,1563 WESTWOOD AVE SW,Westview,33.738875,-84.439031,13121,Fulton
202770895,2020,10/3/2020,Saturday,840 MCDONOUGH BLVD SE,Custer/McDonough/Guice,33.708832,-84.359031,13121,Fulton
202771651,2020,10/3/2020,Saturday,SELLS AVE SW & LAWTON ST SW,West End,33.745283,-84.423319,13121,Fulton
202771341,2020,10/3/2020,Saturday,1111 OAK ST SW,West End,33.741665,-84.42416,13121,Fulton
202780340,2020,10/4/2020,Sunday,972 EISENHOWER RD SE,South River Gardens,33.656841,-84.358087,13121,Fulton
202780470,2020,10/4/2020,Sunday,1905 PIEDMONT RD NE,Morningside/Lenox Park,33.809717,-84.365521,13121,Fulton
202780934,2020,10/4/2020,Sunday,960 SPRING ST NW,Midtown,33.780893,-84.389168,13121,Fulton
202780778,2020,10/4/2020,Sunday,50 ALABAMA ST SW,Downtown,33.751869,-84.389642,13121,Fulton
202780260,2020,10/4/2020,Sunday,231 SCIPLE TERRACE NW,Vine City,33.761064,-84.414825,13121,Fulton
202781026,2020,10/4/2020,Sunday,1325 DONULLLD LEE HOLLOWELL PKWY NW,,33.772593,-84.431196,13121,Fulton
202781403,2020,10/4/2020,Sunday,1355 RALPH DAVID ABERNULLTHY BLVD SW,West End,33.739416,-84.432201,13121,Fulton
202781564,2020,10/4/2020,Sunday,445 WESTMEATH DR SW,Westview,33.743116,-84.44625,13121,Fulton
202781049,2020,10/4/2020,Sunday,2120 SOUTHWOOD BLVD SW,Ben Hill Terrace,33.696022,-84.519287,13121,Fulton
202791621,2020,10/5/2020,Monday,1801 HOWELL MILL RD NW,Berkeley Park,33.80423,-84.412846,13121,Fulton
202790262,2020,10/5/2020,Monday,550 LINDSAY ST NW,English Avenue,33.769772,-84.416757,13121,Fulton
202801921,2020,10/6/2020,Tuesday,330 EDGEWOOD AVE SE,Sweet Auburn,33.754621,-84.376834,13121,Fulton
202810281,2020,10/7/2020,Wednesday,3819 JONESBORO RD SE,South River Gardens,33.650292,-84.366814,13121,Fulton
202811594,2020,10/7/2020,Wednesday,12 BROAD ST SW,Downtown,33.75445,-84.391383,13121,Fulton
202811884,2020,10/7/2020,Wednesday,1077 HEMPHILL AVE NW,Home Park,33.784224,-84.40555,13121,Fulton
202810569,2020,10/7/2020,Wednesday,3221 M.L.K. JR DR SW,,33.752518,-84.491978,13121,Fulton
202811633,2020,10/7/2020,Wednesday,3450 CASCADE RD SW,Horseshoe Community,33.721623,-84.497609,13121,Fulton
202820306,2020,10/8/2020,Thursday,2255 LENOX RD NE,Lindridge/Martin Manor,33.815952,-84.351262,13121,Fulton
202821784,2020,10/8/2020,Thursday,2610 METROPOLITAN PKWY SW,Perkerson,33.683335,-84.407356,13121,Fulton
202821722,2020,10/8/2020,Thursday,150 HOLDERNESS ST SW,Ashview Heights,33.750183,-84.426208,13121,Fulton
202820057,2020,10/8/2020,Thursday,645 CASCADE AVE SW,Westview,33.737633,-84.436098,13121,Fulton
202871131,2020,10/8/2020,Thursday,659 ROBERT ST NW,Center Hill,33.773126,-84.472164,13121,Fulton
202831239,2020,10/9/2020,Friday,815 SIDNEY MARCUS BLVD NE,Lindbergh/Morosgo,33.824227,-84.360941,13121,Fulton
202831704,2020,10/9/2020,Friday,1058 HOWELL MILL RD NW,Home Park,33.783608,-84.412117,13121,Fulton
202841212,2020,10/10/2020,Saturday,2205 CHESHIRE BRIDGE RD NE,Lindridge/Martin Manor,33.815106,-84.352603,13121,Fulton
202840391,2020,10/10/2020,Saturday,907 ARGONNE AVE NE,Midtown,33.779375,-84.377307,13121,Fulton
202840460,2020,10/10/2020,Saturday,232 FORSYTH ST SW,Downtown,33.74854,-84.396366,13121,Fulton
202840414,2020,10/10/2020,Saturday,520 FULTON ST SW,Mechanicsville,33.740567,-84.404668,13121,Fulton
202841520,2020,10/10/2020,Saturday,548 NORTHSIDE DR NW,English Avenue,33.769585,-84.405058,13121,Fulton
202841884,2020,10/10/2020,Saturday,200 ANDREW J HAIRSTON BLVD NW,Vine City,33.760445,-84.414051,13121,Fulton
202840415,2020,10/10/2020,Saturday,1801 DELOWE DR,Campbellton Road,33.705829,-84.457673,13121,Fulton
202850040,2020,10/11/2020,Sunday,3295 ROSWELL RD NE,Buckhead Forest,33.84497,-84.379917,13121,Fulton
202851837,2020,10/11/2020,Sunday,221 PEACHTREE CENTER AVE NE,Downtown,33.760412,-84.385539,13121,Fulton
202851759,2020,10/11/2020,Sunday,500 NORTHSIDE CIR NW,Loring Heights,33.800646,-84.401668,13121,Fulton
202850475,2020,10/11/2020,Sunday,1145 LUCILE AVE SW,West End,33.742545,-84.42535,13121,Fulton
202860272,2020,10/12/2020,Monday,1016 HOWELL MILL RD NW,Home Park,33.782297,-84.411761,13121,Fulton
202860858,2020,10/12/2020,Monday,507 JOSEPH E LOWERY BLVD SW,West End,33.740978,-84.418108,13121,Fulton
202871933,2020,10/13/2020,Tuesday,265 PONCE DE LEON AVE NE,Midtown,33.771684,-84.378393,13121,Fulton
202870279,2020,10/13/2020,Tuesday,1016 HOWELL MILL RD,Home Park,33.782265,-84.411768,13121,Fulton
202870205,2020,10/13/2020,Tuesday,1856 WELLS DR SW,Southwest,33.704679,-84.468085,13121,Fulton
202870537,2020,10/13/2020,Tuesday,2460 M.L.K. JR DR SW,Harland Terrace,33.751991,-84.468572,13121,Fulton
202881049,2020,10/14/2020,Wednesday,2825 WATERS RD SW,Glenrose Heights,33.67769,-84.392123,13121,Fulton
202880085,2020,10/14/2020,Wednesday,633 PRYOR ST SW,Mechanicsville,33.737536,-84.394919,13121,Fulton
202881186,2020,10/14/2020,Wednesday,195 FAIRBURN RD NW,Adamsville,33.761069,-84.504255,13121,Fulton
202891982,2020,10/15/2020,Thursday,3050 M.L.K. JR DR SW,Harland Terrace,33.75106,-84.486163,13121,Fulton
202901292,2020,10/16/2020,Friday,3393 PEACHTREE RD,Lenox,33.846516,-84.362679,13121,Fulton
202900920,2020,10/16/2020,Friday,3050 M.L.K. JR DR SW,Harland Terrace,33.75106,-84.486163,13121,Fulton
202910317,2020,10/17/2020,Saturday,612 LEE ST SW,West End,33.738795,-84.413614,13121,Fulton
202930593,2020,10/17/2020,Saturday,1033 HOLLYWOOD RD NW,Almond Park,33.786497,-84.458512,13121,Fulton
202910602,2020,10/17/2020,Saturday,2099 FAIRBURN RD SW,Kings Forest,33.697696,-84.5102,13121,Fulton
202920087,2020,10/18/2020,Sunday,3819 JONESBORO RD SE,South River Gardens,33.650292,-84.366814,13121,Fulton
202921708,2020,10/18/2020,Sunday,580 WOODWARD AVE SE,Grant Park,33.745638,-84.368457,13121,Fulton
202920644,2020,10/18/2020,Sunday,2960 PIEDMONT RD NE,Garden Hills,33.834911,-84.369278,13121,Fulton
202920166,2020,10/18/2020,Sunday,915 W PEACHTREE ST NE,Midtown,33.786699,-84.387807,13121,Fulton
202920560,2020,10/18/2020,Sunday,2144 PEACHTREE RD NW,,33.813442,-84.39324,13121,Fulton
202920447,2020,10/18/2020,Sunday,1218 JOSEPH E. BOONE BLVD NW,Hunter Hills,33.763238,-84.427362,13121,Fulton
202921150,2020,10/18/2020,Sunday,3181 DONULLLD LEE HOLLOWELL PKWY NW,Brookview Heights,33.786364,-84.490252,13121,Fulton
202930124,2020,10/19/2020,Monday,595 PIEDMONT AVE NE,Old Fourth Ward,33.770357,-84.381158,13121,Fulton
202931344,2020,10/19/2020,Monday,1999 BENT CREEK WAY SW,Campbellton Road,33.701051,-84.466464,13121,Fulton
202941881,2020,10/20/2020,Tuesday,17 BAKER ST NW,Downtown,33.76293,-84.38829,13121,Fulton
202951862,2020,10/21/2020,Wednesday,3334 PEACHTREE RD NE,North Buckhead,33.849111,-84.370944,13121,Fulton
202951715,2020,10/21/2020,Wednesday,300 TED TURNER DR NW,Downtown,33.762632,-84.389613,13121,Fulton
202962200,2020,10/22/2020,Thursday,239 IVAN ALLEN JR BLVD NW,Downtown,33.764975,-84.395022,13121,Fulton
202962290,2020,10/22/2020,Thursday,1176 CHATTAHOOCHEE AVE NW,Blandtown,33.800672,-84.425432,13121,Fulton
202961974,2020,10/22/2020,Thursday,1993 BENT CREEK WAY SW,Campbellton Road,33.700971,-84.465883,13121,Fulton
202971572,2020,10/23/2020,Friday,464 WINDSOR ST SW,Mechanicsville,33.742237,-84.397834,13121,Fulton
202972316,2020,10/23/2020,Friday,45 JAMES P BRAWLEY DR NW,Vine City,33.755913,-84.412527,13121,Fulton
202972142,2020,10/23/2020,Friday,1794 WILLIS MILL RD SW,Adams Park,33.706624,-84.46827,13121,Fulton
202971930,2020,10/23/2020,Friday,605 FERN BROOKS DR SW,Midwest Cascade,33.733414,-84.537229,13121,Fulton
202981562,2020,10/24/2020,Saturday,260 FULTON ST SW,Mechanicsville,33.741351,-84.39652,13121,Fulton
202980495,2020,10/24/2020,Saturday,3041 LANDRUM DR SW,Southwest,33.707919,-84.487125,13121,Fulton
202980137,2020,10/24/2020,Saturday,683 SKIPPER DR NW,Collier Heights,33.773886,-84.490159,13121,Fulton
202990430,2020,10/25/2020,Sunday,1683 LAKEWOOD AVE SE,Lakewood Heights,33.707976,-84.3802,13121,Fulton
202990958,2020,10/25/2020,Sunday,210 PETERS ST SW,Castleberry Hill,33.748749,-84.399629,13121,Fulton
203001748,2020,10/26/2020,Monday,878 NORWOOD RD SE,Norwood Manor,33.697224,-84.360818,13121,Fulton
203001650,2020,10/26/2020,Monday,232 19TH ST NW,Atlantic Station,33.793186,-84.395515,13121,Fulton
203000611,2020,10/26/2020,Monday,1165 EGGLESTON ST SW,West End,33.739964,-84.426006,13121,Fulton
203011634,2020,10/27/2020,Tuesday,740 SIDNEY MARCUS BLVD NE,Lindbergh/Morosgo,33.827311,-84.363734,13121,Fulton
203010278,2020,10/27/2020,Tuesday,1570 PIEDMONT AVE NE,Morningside/Lenox Park,33.796922,-84.369144,13121,Fulton
203020004,2020,10/27/2020,Tuesday,1940 NORTHSIDE DR NW,Channing Valley,33.808334,-84.408279,13121,Fulton
203010336,2020,10/27/2020,Tuesday,3263 DONULLLD LEE HOLLOWELL PKWY NW,English Park,33.788072,-84.493663,13121,Fulton
203020135,2020,10/28/2020,Wednesday,44 8TH ST NW,Midtown,33.779553,-84.38881,13121,Fulton
203020456,2020,10/28/2020,Wednesday,135 ANDREW YOUNG INTERNULLTIONULLL BLVD NW,Downtown,33.759912,-84.391779,13121,Fulton
203032590,2020,10/29/2020,Thursday,300 PEACHTREE ST NE,Downtown,33.7625,-84.387778,13121,Fulton
203042044,2020,10/29/2020,Thursday,32 BAKER ST NW,Downtown,33.762257,-84.388879,13121,Fulton
203030754,2020,10/29/2020,Thursday,1302 RALPH DAVID ABERNULLTHY BLVD SW,West End,33.738593,-84.430355,13121,Fulton
203030935,2020,10/29/2020,Thursday,3871 REDWINE RD SW,Princeton Lakes,33.661114,-84.512171,13121,Fulton
203041003,2020,10/30/2020,Friday,545 LEE ST SW,West End,33.740056,-84.414417,13121,Fulton
203051698,2020,10/31/2020,Saturday,520 BOULEVARD SE,Grant Park,33.740755,-84.367595,13121,Fulton
203051245,2020,10/31/2020,Saturday,267 MARIETTA ST NW,Downtown,33.760776,-84.394529,13121,Fulton
203051202,2020,10/31/2020,Saturday,232 FORSYTH ST SW,Downtown,33.74854,-84.396366,13121,Fulton
203060244,2020,11/1/2020,Sunday,232 FORSYTH ST SW,Downtown,33.74854,-84.396366,13121,Fulton
203070580,2020,11/1/2020,Sunday,532 CLEVELAND AVE SW,Hammond Park,33.678873,-84.406433,13121,Fulton
203060006,2020,11/1/2020,Sunday,763 CATHERINE ST SW,Adair Park,33.726005,-84.412571,13121,Fulton
203061227,2020,11/1/2020,Sunday,3056 IMPERIAL CIR SW,Southwest,33.699227,-84.495486,13121,Fulton
203101269,2020,11/2/2020,Monday,498 SEMINOLE AVE NE,Inman Park,33.765877,-84.349493,13121,Fulton
203071123,2020,11/2/2020,Monday,540 17TH ST NW,Loring Heights,33.791135,-84.406885,13121,Fulton
203071298,2020,11/2/2020,Monday,895 JOSEPH E. BOONE BLVD NW,English Avenue,33.76368,-84.416877,13121,Fulton
203071679,2020,11/2/2020,Monday,3090 CAMPBELLTON RD SW,Southwest,33.693357,-84.489052,13121,Fulton
203081665,2020,11/3/2020,Tuesday,791 WYLIE ST SE,Reynoldstown,33.752521,-84.361005,13121,Fulton
203081580,2020,11/3/2020,Tuesday,73 WADDELL ST NE,Inman Park,33.756102,-84.363015,13121,Fulton
203080208,2020,11/3/2020,Tuesday,2025 PEACHTREE RD NE,Buckhead Village,33.839652,-84.379528,13121,Fulton
203081446,2020,11/3/2020,Tuesday,2786 OLD HAPEVILLE RD SW,Glenrose Heights,33.678873,-84.392548,13121,Fulton
203080124,2020,11/3/2020,Tuesday,232 FORSYTH ST SW,Downtown,33.74854,-84.396366,13121,Fulton
203080144,2020,11/3/2020,Tuesday,1132 GARIBALDI ST SW,Pittsburgh,33.724054,-84.398983,13121,Fulton
203081584,2020,11/3/2020,Tuesday,1531 CAMPBELLTON RD SW,Venetian Hills,33.713262,-84.438621,13121,Fulton
203080216,2020,11/3/2020,Tuesday,3810 CAMPBELLTON RD SW,,33.690262,-84.513473,13121,Fulton
203090135,2020,11/4/2020,Wednesday,18 JACKSON ST NE,Sweet Auburn,33.754847,-84.374638,13121,Fulton
203091949,2020,11/4/2020,Wednesday,180 JACKSON ST NE,Sweet Auburn,33.758308,-84.374658,13121,Fulton
203090730,2020,11/4/2020,Wednesday,610 SPRING ST NW,Downtown,33.770904,-84.389521,13121,Fulton
203091626,2020,11/4/2020,Wednesday,600 GREENSFERRY AVE SW,The Villages at Castleberry Hill,33.746732,-84.408349,13121,Fulton
203090907,2020,11/4/2020,Wednesday,187 BROWNLEE RD SW,Adamsville,33.7515,-84.500445,13121,Fulton
203090045,2020,11/4/2020,Wednesday,3390 FAIRBURN RD SW,Ben Hill,33.66147,-84.52333,13121,Fulton
203101202,2020,11/5/2020,Thursday,97 ESTORIA ST SE,Cabbagetown,33.75201,-84.363447,13121,Fulton
203101660,2020,11/5/2020,Thursday,701 HIGHLAND AVE NE,Old Fourth Ward,33.760912,-84.364647,13121,Fulton
203101674,2020,11/5/2020,Thursday,623 IRWIN ST NE,Old Fourth Ward,33.757507,-84.366699,13121,Fulton
203100038,2020,11/5/2020,Thursday,293 PHARR RD NE,Garden Hills,33.836857,-84.378128,13121,Fulton
203101011,2020,11/5/2020,Thursday,200 TED TURNER DR NW,Downtown,33.759815,-84.389272,13121,Fulton
203100012,2020,11/5/2020,Thursday,3041 LANDRUM DR SW,Southwest,33.707919,-84.487125,13121,Fulton
203110067,2020,11/6/2020,Friday,240 NORTH HIGHLAND AVENUE NORTHEAST,Inman Park,33.761899,-84.360387,13121,Fulton
203111649,2020,11/6/2020,Friday,3393 PEACHTREE RD NE,Lenox,33.846335,-84.363578,13121,Fulton
203120345,2020,11/7/2020,Saturday,2470 CHESHIRE BRIDGE RD NE,Lindridge/Martin Manor,33.822301,-84.35211,13121,Fulton
203120389,2020,11/7/2020,Saturday,2280 CHESHIRE BRIDGE RD NE,Lindridge/Martin Manor,33.817499,-84.352263,13121,Fulton
203120493,2020,11/7/2020,Saturday,1544 PIEDMONT AVE NE,Piedmont Heights,33.798058,-84.370654,13121,Fulton
203120301,2020,11/7/2020,Saturday,510 WHITEHALL ST SW,Mechanicsville,33.743246,-84.404257,13121,Fulton
203131832,2020,11/8/2020,Sunday,499 ANSLEY CT NE,Piedmont Heights,33.800965,-84.370851,13121,Fulton
203131614,2020,11/8/2020,Sunday,411 PARKWAY DR NE,Old Fourth Ward,33.765587,-84.373057,13121,Fulton
203130308,2020,11/8/2020,Sunday,1345 PIEDMONT AVE NE,,33.790041,-84.373801,13121,Fulton
203131907,2020,11/8/2020,Sunday,240 TONI PL SE,Browns Mill Park,33.687553,-84.381526,13121,Fulton
203141654,2020,11/9/2020,Monday,68 WALTON ST NW,Downtown,33.756358,-84.390878,13121,Fulton
203140186,2020,11/9/2020,Monday,795 POLLARD BLVD SW,Summerhill,33.732997,-84.391286,13121,Fulton
203140599,2020,11/9/2020,Monday,1120 RALPH DAVID ABERNULLTHY BLVD SW,West End,33.737982,-84.424529,13121,Fulton
203141276,2020,11/9/2020,Monday,2784 DONULLLD LEE HOLLOWELL PKWY NW,Collier Heights,33.779335,-84.479666,13121,Fulton
203141769,2020,11/9/2020,Monday,3041 LANDRUM DR SW,Southwest,33.707919,-84.487125,13121,Fulton
203151867,2020,11/10/2020,Tuesday,600 HUMPHRIES ST SW,Mechanicsville,33.738571,-84.404521,13121,Fulton
203150576,2020,11/10/2020,Tuesday,132 JOSEPH E. LOWERY BLVD NW,Washington Park,33.758674,-84.417779,13121,Fulton
203160841,2020,11/11/2020,Wednesday,862 CARTER ST NW,Vine City,33.756309,-84.415994,13121,Fulton
203180045,2020,11/12/2020,Thursday,960 CONSTITUTION RD SE,Norwood Manor,33.695295,-84.356711,13121,Fulton
203171607,2020,11/12/2020,Thursday,3390 STRATFORD RD NE,North Buckhead,33.849823,-84.36743,13121,Fulton
203170263,2020,11/12/2020,Thursday,2274 BROOKS AVE NW,Almond Park,33.784188,-84.463407,13121,Fulton
203181653,2020,11/13/2020,Friday,111 BOULEVARD NE,Old Fourth Ward,33.757366,-84.371929,13121,Fulton
203180899,2020,11/13/2020,Friday,285 CENTENNIAL OLYMPIC PARK DR NW,Downtown,33.762604,-84.391713,13121,Fulton
203190214,2020,11/13/2020,Friday,898 PROCTOR ST NW,English Avenue,33.764812,-84.416877,13121,Fulton
203181891,2020,11/13/2020,Friday,415 TEMPLE ST NW,Bankhead,33.765859,-84.42176,13121,Fulton
203182097,2020,11/13/2020,Friday,ELLEN ST NW,Hills Park,33.803609,-84.445198,13121,Fulton
203181478,2020,11/13/2020,Friday,2524 M.L.K. JR DR SW,Harland Terrace,33.751499,-84.470668,13121,Fulton
203182078,2020,11/13/2020,Friday,2909 CAMPBELLTON RD SW,Southwest,33.700792,-84.483046,13121,Fulton
203190455,2020,11/14/2020,Saturday,3478 LAKESIDE DR NE,Buckhead Heights,33.848286,-84.357037,13121,Fulton
203190284,2020,11/14/2020,Saturday,661 AUBURN AVE NE,Old Fourth Ward,33.755649,-84.365603,13121,Fulton
203191114,2020,11/14/2020,Saturday,532 CLEVELAND AVE SW,Hammond Park,33.678873,-84.406433,13121,Fulton
203200188,2020,11/15/2020,Sunday,2297 CHESHIRE BRIDGE RD NE,Lindridge/Martin Manor,33.817511,-84.351473,13121,Fulton
203201530,2020,11/15/2020,Sunday,2459 PIEDMONT RD NE,Lindbergh/Morosgo,33.822552,-84.367041,13121,Fulton
203200886,2020,11/15/2020,Sunday,282 LANGHORN ST SW,West End,33.746908,-84.429936,13121,Fulton
203221820,2020,11/17/2020,Tuesday,1922 PIEDMONT CIR NE,Piedmont Heights,33.80899,-84.367667,13121,Fulton
203231491,2020,11/18/2020,Wednesday,1469 CAMPBELLTON RD SW,Venetian Hills,33.714063,-84.43659,13121,Fulton
203241823,2020,11/19/2020,Thursday,1080 EUCLID AVE NE,Inman Park,33.764149,-84.351688,13121,Fulton
203241934,2020,11/19/2020,Thursday,311 COURTLAND ST NE,Downtown,33.763024,-84.38365,13121,Fulton
203241665,2020,11/19/2020,Thursday,807 CASCADE AVE SW,Cascade Avenue/Road,33.733202,-84.438231,13121,Fulton
203250823,2020,11/20/2020,Friday,3097 MAPLE DR NE,Buckhead Village,33.839968,-84.371496,13121,Fulton
203251870,2020,11/20/2020,Friday,256 GLENN ST SW,Mechanicsville,33.737906,-84.395412,13121,Fulton
203250991,2020,11/20/2020,Friday,2925 LAKEWOOD AVE SW,Polar Rock,33.697369,-84.401974,13121,Fulton
203250958,2020,11/20/2020,Friday,195 FAIRBURN RD NW,Adamsville,33.761069,-84.504255,13121,Fulton
203260319,2020,11/21/2020,Saturday,1400 W PEACHTREE ST NW,Midtown,33.792888,-84.388315,13121,Fulton
203262108,2020,11/21/2020,Saturday,930 SPRING ST NW,Midtown,33.779952,-84.389521,13121,Fulton
203260513,2020,11/21/2020,Saturday,930 SPRING ST NW,Midtown,33.779952,-84.389521,13121,Fulton
203260220,2020,11/21/2020,Saturday,2950 M.L.K. JR DR SW,Harland Terrace,33.753037,-84.484076,13121,Fulton
203271532,2020,11/22/2020,Sunday,501 PIEDMONT AVE NE,Downtown,33.76813,-84.382366,13121,Fulton
203271065,2020,11/22/2020,Sunday,1700 STANTON RD SW,,33.70865,-84.443507,13121,Fulton
203270097,2020,11/22/2020,Sunday,1097 HARWELL RD NW,Collier Heights,33.785212,-84.491125,13121,Fulton
203280712,2020,11/23/2020,Monday,2885 LAKEWOOD AVE SW,Sylvan Hills,33.697977,-84.410516,13121,Fulton
203280546,2020,11/23/2020,Monday,2080 CAMPBELLTON RD SW,Campbellton Road,33.705236,-84.45685,13121,Fulton
203281645,2020,11/23/2020,Monday,2215 WINGATE ST SW,Florida Heights,33.748936,-84.460562,13121,Fulton
203290594,2020,11/24/2020,Tuesday,1000 PARK AVE NE,North Buckhead,33.855121,-84.361961,13121,Fulton
203291635,2020,11/24/2020,Tuesday,1359 MECASLIN ST NW,Atlantic Station,33.78913,-84.400053,13121,Fulton
203291590,2020,11/24/2020,Tuesday,2 JOSEPH E. LOWERY BLVD NW,Washington Park,33.754908,-84.417718,13121,Fulton
203311109,2020,11/26/2020,Thursday,785 LEE ST SW,West End,33.733613,-84.414517,13121,Fulton
203310648,2020,11/26/2020,Thursday,3121 CAMPBELLTON RD SW,Southwest,33.692358,-84.49126,13121,Fulton
203321318,2020,11/27/2020,Friday,817 HOLLYWOOD RD NW,Grove Park,33.777638,-84.450515,13121,Fulton
203331643,2020,11/28/2020,Saturday,800 GLENWOOD AVE SE,Grant Park,33.742227,-84.359791,13121,Fulton
203331591,2020,11/28/2020,Saturday,2525 PIEDMONT RD NE,Lindbergh/Morosgo,33.824018,-84.365306,13121,Fulton
203330077,2020,11/28/2020,Saturday,652 MIAMI CIR NE,Lindbergh/Morosgo,33.828942,-84.365802,13121,Fulton
203340866,2020,11/28/2020,Saturday,101 VERANDA CIR SE,Sweet Auburn,33.751635,-84.378148,13121,Fulton
